9592,3690,2589,5054,1466,5688,3468,9708,4857,7753,4088,7203,2282,1698,2954,7344,1714,3102,6119,8400
3594,5858,8820,4545,7267,1140,7289,3140,9391,8697,9858,6714,9030,3866,9976,7506,4442,9010,7551,8869
3658,3519,9752,5990,9659,1922,2631,8745,2789,1788,4503,7559,2873,3471,8737,3155,9073,8319,5851,1445
4607,4411,3589,2312,8303,8820,1167,9345,6689,5640,9038,5814,7238,1171,4373,7289,5500,4036,8240,8344
9156,1783,8492,5083,4625,6836,7546,8793,8475,7131,2851,4294,2201,3441,6333,5997,4549,2516,5060,3102
9754,1080,1996,5381,6616,7387,7794,9823,1416,7843,5410,8225,6123,4306,6394,7823,4748,9803,4046,9629
9758,3524,7445,3437,8584,2575,7073,4462,3854,1335,5676,6190,7273,4364,7309,7292,2766,6786,5634,5420
6931,8564,7168,1352,4453,8081,1533,4575,9736,3968,7231,3988,9414,6998,6901,9534,5929,2953,2899,6799
3539,5095,6707,3172,8490,3160,5430,5136,5730,6701,1675,4221,8850,6379,1310,5664,7696,3040,1466,1648
8000,7537,5513,8139,2727,8405,6311,1708,5551,9250,5287,8996,2635,5242,5093,7796,2258,4977,2291,9181
8832,2398,8239,3725,6928,7828,4849,4903,5830,8747,7539,7437,4240,7560,7433,1892,7541,2878,9751,2259
8550,9335,4418,5185,2921,7323,5967,9691,8172,4179,1255,3575,9462,6755,1588,3337,2065,3186,9549,4727
9524,1383,2157,6778,6213,5602,8250,7388,5683,9171,5362,3376,1842,7459,9087,1690,7440,4758,4323,5876
3612,3466,7119,4698,5998,9382,4309,8284,2153,7162,1725,8805,8005,8815,9964,1828,6258,1130,6329,6703
9575,6562,1986,2598,2279,8811,9203,1067,1653,3959,8598,9068,9903,8809,7614,4658,3205,2853,1957,1202
9573,5159,9190,4846,1951,9510,7437,8311,2563,8981,6290,9568,1491,1030,6196,1450,3794,8883,8042,5888
1940,9203,8733,8966,2503,4725,2313,8515,4359,2435,9994,7392,3568,8398,5923,1356,8172,7482,6466,2885
7780,9790,6288,3861,8603,4235,5892,9599,9702,7791,7271,4164,2560,4332,7842,5631,6266,7313,2163,5369
6528,9573,7247,3329,8566,6123,8017,8180,3785,4255,8577,6405,3154,8611,7024,6441,4085,2022,6511,6353
2440,8778,8791,2573,4263,9624,3674,8546,6244,2858,3353,8823,7491,8581,1688,7258,4916,3905,2460,5282
6826,3383,5020,3416,2280,6902,9637,1519,9635,9881,5511,8277,9571,1416,1101,7429,3827,7890,5618,1899
6503,2308,4343,4299,3093,5569,7201,9334,8677,7741,4191,7786,1586,8887,1561,4964,9562,2779,7259,9029
4482,2538,3601,5198,1355,7879,9613,4241,4889,1870,7844,1534,5089,9922,5167,4383,6826,9499,3366,8145
2829,5299,4238,5431,6215,5940,5490,7452,2005,5216,9415,7165,8286,5139,8762,7633,4756,9625,7069,4126
4532,1200,9118,1897,8990,9842,9672,7849,7438,4665,5826,6952,9480,5734,4294,8879,3571,4817,8221,4821
